"id","pen","time","time_lag","event_one","Weight","heavy","feed0","startwt","cu_high","evit100","evit200","visit_n","r_iiw","r_iptw","r_fiptiw"
1,1,1,0,1,26.5,0,0,26.5,0,0,0,1,0.621823737512692,1.0529347495515,0.654739821323107
1,1,6,1,1,55.39999,0,56.900002,26.5,0,0,0,2,0.621823737512692,1.0529347495515,0.654739821323107
1,1,10,6,1,86.5,1,123,26.5,0,0,0,3,0.621823737512692,1.0529347495515,0.654739821323107
1,1,12,10,1,98.59998,1,160,26.5,0,0,0,4,0.621823737512692,1.0529347495515,0.654739821323107
2,1,1,0,1,28.29999,0,0,28.29999,0,0,0,1,0.602077396648689,1.09630099666229,0.660058050013795
2,1,2,1,1,30.09999,0,3.300003,28.29999,0,0,0,2,0.602077396648689,1.09630099666229,0.660058050013795
2,1,3,2,1,38.29999,0,13.200001,28.29999,0,0,0,3,0.602077396648689,1.09630099666229,0.660058050013795
2,1,4,3,1,44.5,0,26.1,28.29999,0,0,0,4,0.602077396648689,1.09630099666229,0.660058050013795
2,1,5,4,1,51.59998,0,43.600002,28.29999,0,0,0,5,0.602077396648689,1.09630099666229,0.660058050013795
2,1,7,5,1,65,1,72.800003,28.29999,0,0,0,6,0.602077396648689,1.09630099666229,0.660058050013795
2,1,8,7,1,73,1,90.800003,28.29999,0,0,0,7,0.602077396648689,1.09630099666229,0.660058050013795
2,1,10,8,1,91,1,132.900002,28.29999,0,0,0,8,0.602077396648689,1.09630099666229,0.660058050013795
2,1,12,10,1,106.69995,1,180,28.29999,0,0,0,9,0.602077396648689,1.09630099666229,0.660058050013795
3,1,1,0,1,27.59999,0,0,27.59999,1,0,1,1,0.544949196239163,0.952225305736943,0.518914414999939
3,1,4,1,1,47.19998,0,32.800003,27.59999,1,0,1,2,0.544949196239163,0.952225305736943,0.518914414999939
3,1,7,4,1,68.5,1,80.5,27.59999,1,0,1,3,0.544949196239163,0.952225305736943,0.518914414999939
3,1,8,7,1,75.19995,1,91.800003,27.59999,1,0,1,4,0.544949196239163,0.952225305736943,0.518914414999939
3,1,10,8,1,90.19995,1,125.600002,27.59999,1,0,1,5,0.544949196239163,0.952225305736943,0.518914414999939
3,1,11,10,1,98.39996,1,145,27.59999,1,0,1,6,0.544949196239163,0.952225305736943,0.518914414999939
3,1,12,11,1,105.39996,1,166,27.59999,1,0,1,7,0.544949196239163,0.952225305736943,0.518914414999939
4,1,1,0,1,31.5,0,0,31.5,0,1,0,1,0.563216293282838,1.10330967300811,0.62140198437473
