"id","r_cif"
1,0.215565571743394
2,0.0788090593270622
3,0.192262893956587
4,0.143979589994433
5,0.317555994313751
6,0.437535249428419
7,0.193811773968258
8,0.319515387653352
9,0.209478474450873
10,0.203854368796359
11,0.145031683746284
12,0.135198061690515
13,0.114048400944636
14,0.160795305047948
15,0.502310233624919
16,0.186300068965954
17,0.136379758860596
18,0.225577659155182
19,0.130971033918707
20,0.313567575804675
21,0.52137047256012
22,0.297501838235999
23,0.148035550972561
24,0.252014316030685
25,0.198599753745628
26,0.211306343703623
27,0.124836390199564
28,0.100776286590607
29,0.374610701972232
30,0.13195175294634
31,0.138305445038559
32,0.112964528049242
33,0.188884745331517
34,0.246121618415091
35,0.173906048354118
36,0.099260284078609
37,0.367459895746877
38,0.206592757362042
39,0.347064037845746
40,0.225274066967618
41,0.149989536588792
42,0.176024291500777
43,0.22098937624488
44,0.369271016243698
45,0.130708115239616
46,0.135454055328548
47,0.136693545177862
48,0.198114986135197
49,0.1381168884067
50,0.217635041923204
51,0.1293260685838
52,0.180015094226958
53,0.151590479907151
54,0.0494754737344771
55,0.116958380478931
56,0.185036911677468
57,0.130957142281284
58,0.152046705671423
59,0.143959137552275
60,0.0945129110514195
61,0.150229254010435
62,0.122340047683972
63,0.116131321451913
64,0.0765527646905952
65,0.203982923378739
66,0.158714380897205
67,0.249637493870714
68,0.340282348313166
69,0.319997122144906
70,0.578783435787162
71,0.257884048774424
72,0.111926993117809
73,0.113490852736629
74,0.125216859875793
75,0.111980854301538
76,0.619935599008093
77,0.0970528128519154
78,0.245586253499357
79,0.771846258458598
80,0.378350638102849
81,0.521751189693728
82,0.256413035045876
83,0.272780316371805
84,0.360140714358789
85,0.633528257780427
86,0.206991832700758
87,0.322546999869183
88,0.132444923755158
89,0.181793987329675
90,0.379619345349449
91,0.107753981003996
92,0.166976120648234
93,0.18944014741792
94,0.351614771554653
95,0.360168673997332
96,0.170002806396781
97,0.106871852524001
98,0.35116183727351
99,0.358736886340826
100,0.320879868854487
101,0.0796596118632888
102,0.225359182268586
103,0.109878623434828
104,0.132963527620279
105,0.199103547272868
106,0.207193295945421
107,0.302775045709693
108,0.122340047683972
109,0.174422284705384
