"id","r_xb"
1,1.30438406981749
2,0.0093695676794826
3,2.10491258908384
4,1.41116153952144
5,2.68680486284478
6,1.95669043893427
7,0.974251707690501
8,1.55469202691631
9,1.06142936936339
10,1.03080627646518
11,0.866452616520833
12,1.71967771071651
13,0.863185976404588
14,1.9076908371906
15,3.28908997608577
16,1.29336081761675
17,1.72904728492927
18,1.14534035825362
19,1.51998231748962
20,1.5318255461026
21,2.20393343363674
22,2.60797515391894
23,1.81767691420385
24,1.27273932278716
25,1.2121251608466
26,1.07122925704572
27,1.07122925704572
28,0.477722439421095
29,2.89260315750178
30,1.69354458978655
31,1.74415721899129
32,0.598588126988783
33,1.15616193273448
34,1.50510111717649
35,1.06469600947963
36,0.716187171173585
37,2.86808309669929
38,1.25640612220594
39,2.01977825527503
40,1.35440532569327
41,0.902896484865582
42,1.38707172685572
43,1.33256046634528
44,2.43361983057317
45,0.754365195169761
46,0.995074912906376
47,1.42119012828625
48,1.82806814254873
49,0.813675547594861
50,1.31520561163194
51,0.843075308641062
52,2.03182312894149
53,0.914430564132382
54,0.58225493294084
55,0.635542822399591
56,1.13329548458717
57,0.756408506700638
58,0.917697204248626
59,1.5471370925517
60,0.410144654378719
61,0.904630643783648
62,0.68352077001114
63,0.627987888034983
64,1.0330512624493
65,1.39462669388673
66,0.964451820008168
67,1.72680229894515
68,2.77173750586713
69,2.31971787063978
70,3.5034648919059
71,1.61022487622606
72,0.588788206640049
73,1.53253805088854
74,1.63737961862174
75,0.589299033706108
76,2.68680486284478
77,1.12676217168828
78,1.45342618331273
79,3.26295688782222
80,1.97629027963174
81,3.34462289072833
82,1.50344743918851
83,2.5048946704672
84,1.91363280942694
85,2.72375955825558
86,1.35869361994164
87,1.77682362015374
88,1.61187858688044
89,1.1136956112233
90,1.9805786065465
91,0.648609350198168
92,1.01998473465073
93,1.15942857285072
94,2.81255018205674
95,2.3399090193334
96,1.13982873215325
97,0.539788604896381
98,2.81093715459567
99,1.90871249132272
100,1.77049195230833
101,1.07449592982836
102,1.3548356848958
103,0.569188352876021
104,0.772741707281861
105,1.21496148749328
106,1.25967276232218
107,1.70007787001904
108,0.68352077001114
109,1.06796268226228
