scenario,scale,effect1,effect2,covariance,correlation,cov_abs_tol,python_boot_reps,stata_boot_reps,stata_mc_sims,source,notes
binary_logit_logit,rd,tce,nde,0.0020381732116260573,0.95268208108476105,0.0014267212481382399,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,rd,tce,cde,0.0019641569446580158,0.93821279102881827,0.0013749098612606109,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,rd,nde,cde,0.0021520637746469773,0.99789694633567549,0.0015064446422528839,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,rd,nde,pm,-0.0031750789185291278,-0.71638021852402789,0.0022225552429703892,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,rd,pm,cde,-0.0031996185437767276,-0.73774371966075014,0.0022397329806437094,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logor,tce,nde,0.039094873575269661,0.9599390171884038,0.027366411502688759,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logor,tce,cde,0.040175129565799564,0.96972310965545383,0.028122590696059692,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logor,nde,cde,0.042001695748644576,0.99863296633799714,0.029401187024051201,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logor,nde,pm,-0.01369118396224474,-0.68124341438613623,0.0095838287735713172,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logor,pm,cde,-0.013512557495407139,-0.66094526287743405,0.0094587902467849969,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logrr,tce,nde,0.014950561916489861,0.96728074965411048,0.010465393341542902,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logrr,tce,cde,0.016335707787777799,0.98270827740669708,0.011434995451444458,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logrr,nde,cde,0.017307887939812971,0.99038346915765052,0.01211552155786908,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logrr,nde,pm,-0.0078840552729944665,-0.72792458167401974,0.0055188386910961264,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
binary_logit_logit,logrr,pm,cde,-0.0077894116539596187,-0.66870259777457164,0.0054525881577717327,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"binary mediator/outcome; exact plug-in g-formula, control mediator set to 0"
continuous_linear_linear,rd,tce,nde,0.003655172684257389,0.70329980796749736,0.0025586208789801722,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"continuous mediator/outcome; exact linear plug-in g-formula, control mediator set to 0"
continuous_linear_linear,rd,tce,cde,0.0036551726842573894,0.70329980796749769,0.0025586208789801722,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"continuous mediator/outcome; exact linear plug-in g-formula, control mediator set to 0"
continuous_linear_linear,rd,nde,cde,0.0043626043268334223,0.99999999999999978,0.0030538230287833956,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"continuous mediator/outcome; exact linear plug-in g-formula, control mediator set to 0"
continuous_linear_linear,rd,nde,pm,-0.0025506376372487821,-0.81491361205685631,0.0017854463460741474,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"continuous mediator/outcome; exact linear plug-in g-formula, control mediator set to 0"
continuous_linear_linear,rd,pm,cde,-0.0025506376372487817,-0.81491361205685608,0.001785446346074147,1000,180,10000,statsmodels_glm_ols_plugin_bootstrap,"continuous mediator/outcome; exact linear plug-in g-formula, control mediator set to 0"
