analysis,rep,po_a1,po_a0,rd_a1_a0
binary,1,0.102066533280109,0.308425636967725,-0.206359103687615
binary,2,0.174316890591085,0.27490277946913,-0.100585888878045
binary,3,0.109235574683178,0.217487406405239,-0.108251831722061
binary,4,0.066148767659581,0.255256292397362,-0.189107524737781
binary,5,0.0926262480851203,0.324645949662964,-0.232019701577844
binary,6,0.11789253602859,0.229723480766436,-0.111830944737846
binary,7,0.106570857062389,0.228140941943588,-0.121570084881199
binary,8,0.0675218733684858,0.272424321362317,-0.204902447993831
binary,9,0.0952186608731666,0.283666620491256,-0.188447959618089
binary,10,0.116451169390441,0.275184068153873,-0.158732898763432
binary,11,0.148290936194454,0.273168516905119,-0.124877580710666
binary,12,0.0812028617582296,0.280131848239386,-0.198928986481157
binary,13,0.116279017683666,0.273568845519075,-0.157289827835409
binary,14,0.132319494343088,0.306483417232486,-0.174163922889398
binary,15,0.126069697507911,0.227312366901791,-0.10124266939388
binary,16,0.0975827958718047,0.234721669396081,-0.137138873524277
binary,17,0.0767555612763802,0.253007914713572,-0.176252353437192
binary,18,0.112375745115597,0.248609421831749,-0.136233676716152
binary,19,0.120614243534883,0.232018148124319,-0.111403904589436
binary,20,0.112855355555026,0.212722550788474,-0.0998671952334486
binary,21,0.0856246349425372,0.316724139209946,-0.231099504267409
binary,22,0.0817016114429385,0.240692190800636,-0.158990579357698
binary,23,0.172734153947717,0.186320470776747,-0.0135863168290303
binary,24,0.134116769033697,0.248950264305358,-0.114833495271661
binary,25,0.122582595519248,0.307677086327805,-0.185094490808556
binary,26,0.104206405421967,0.32099495135162,-0.216788545929653
binary,27,0.136357207414047,0.297095483043268,-0.16073827562922
binary,28,0.150602885692029,0.167647320182831,-0.0170444344908022
binary,29,0.15338780177473,0.217028616197147,-0.0636408144224177
binary,30,0.148950519408032,0.237739762922404,-0.0887892435143721
binary,31,0.136475441260955,0.332738152202402,-0.196262710941447
binary,32,0.154079877066359,0.147724968569447,0.00635490849691145
binary,33,0.08427469528972,0.299378813968755,-0.215104118679035
binary,34,0.126955191424276,0.299346961068993,-0.172391769644717
binary,35,0.1030886518633,0.301469469987155,-0.198380818123855
binary,36,0.119529875777099,0.344215037739195,-0.224685161962096
