y,m,x,c1,c2
0,2,2,-1.583445539144168,1
0,2,2,-1.2276410758150462,1
0,0,0,0.11338811757105802,0
0,0,0,-1.8661481573392464,0
0,1,0,-0.93831814652927537,0
0,0,1,-0.41403132079040317,0
1,1,1,2.2803260419537064,1
0,0,0,1.3609992847172692,0
1,1,0,0.087105998611838056,0
0,2,0,0.24575665414610512,0
0,1,0,-0.76856642367127881,1
1,2,0,-0.42056723312137601,0
0,2,2,-1.9827168893231293,0
0,2,2,-0.68922005485474302,1
0,0,0,0.66545104138824385,0
0,0,2,0.76636533177609578,0
0,2,2,-0.23043562397436226,1
1,0,1,0.45791233140507509,1
1,1,2,1.2902322415423653,1
0,0,0,-0.40442579195113337,0
0,2,2,0.59702262045812904,0
1,1,2,1.7088227577969624,0
0,1,0,-0.19400004445552507,0
0,1,2,1.2235753083790353,1
0,1,0,0.1037261356237632,0
0,0,1,2.0581618747781136,0
1,1,1,1.1027589881840909,0
1,2,2,0.23979436374818383,0
0,0,1,-1.593317818274526,1
1,0,0,1.4553093621089328,0
0,0,0,1.144804291684967,0
0,0,0,-0.69302457919970106,0
0,2,2,-0.5575041826225593,0
1,1,0,0.20556632623306165,1
1,2,2,-1.1812064588552238,1
0,1,0,-0.32490022959199527,1
0,1,0,-1.2677429945557128,0
1,2,2,-2.0427631303044071,1
1,0,2,-1.8972359306964253,0
1,2,2,0.80368047415912169,1
1,2,2,1.246802954182042,1
1,2,1,-0.85572989383980846,0
1,2,2,-1.2923244657604955,1
1,2,2,-1.1947051872435621,1
1,0,0,0.82643417945009323,1
0,0,0,-1.8900012290980766,0
0,0,1,0.55054663609622778,0
0,0,0,-0.97211410159745559,0
0,0,2,0.54613433781631004,0
0,1,0,0.18896692672259802,0
1,2,0,1.125963232845455,0
0,0,0,0.74432577931935917,0
1,0,2,-0.73799126168368345,1
0,2,2,0.14275347131159929,1
0,0,1,1.7838513284267905,0
0,2,2,-1.1302344453556226,0
1,1,0,0.90135237150371661,0
1,1,1,1.6950851322718259,0
0,1,1,1.6692493184766621,0
1,1,1,0.12243658968436809,0
0,0,0,-0.70391219667984684,1
0,1,1,-0.49267833511420811,0
0,0,0,-0.28936961754286056,1
0,0,0,-1.9782148656081491,0
0,1,1,-0.66514728215371022,0
0,0,0,-0.54272217455367244,1
0,0,1,0.21136689185395657,1
1,2,2,-1.1051627461571909,1
0,1,0,0.06779039565104758,0
0,1,2,2.0092647092384381,1
0,1,1,-0.66703791137708379,0
0,0,0,0.79948453621700621,0
0,2,2,0.10280812407620531,1
0,1,1,-0.074131281004393465,1
0,0,1,-0.24858934650077574,0
0,0,1,0.56352065090859049,1
0,2,0,-0.022580158758758177,0
1,1,0,0.24325085179673331,0
0,0,1,0.78389191882450626,1
0,1,2,2.06448710381762,0
0,0,0,0.46187578407782065,0
1,2,0,1.3791991882112673,1
1,2,2,-0.61780600124104545,0
1,1,2,-0.5839743345358428,0
1,0,2,-2.1069397729215278,0
0,0,0,0.25149369521999632,0
1,0,0,0.3771519908111936,0
1,2,2,0.078665975488126746,1
1,1,0,1.0297366694645929,0
0,0,0,-0.26274489050376298,0
1,1,1,1.1058807244762194,0
0,1,0,0.84129618912453252,0
1,2,2,1.1205869765051224,1
1,2,2,-0.14289032572912055,1
1,1,1,-1.4591493374170212,0
0,2,2,-0.95888837009841521,1
1,2,1,2.2463238227127369,1
1,0,2,-0.14699389973923224,0
0,2,2,-0.35544807512627397,1
0,0,0,-0.22539897043923543,1
0,0,0,0.18909202626542648,0
1,1,1,1.0082346036207339,1
1,2,1,-1.5812334132240149,0
0,0,2,-0.73713563050980879,1
1,0,0,0.91842214208738648,0
1,0,1,2.0246834895801666,0
0,0,0,0.35262260506684046,0
1,2,1,-1.2272638368975923,0
1,2,0,-0.27792934252222129,0
0,0,1,-0.80461126693983864,1
1,0,1,0.020446004749163502,0
0,0,0,1.0644583386309894,1
0,1,1,0.5926476561216758,0
0,1,0,-0.59599404008295709,0
1,2,1,0.34084161380384004,1
0,1,0,0.77092587055763073,1
0,1,0,1.2860308379478613,1
0,0,1,0.7303572497381039,0
0,0,2,-2.0473231407648842,0
0,2,0,-0.32710211450569626,1
1,2,0,1.0498871014683522,0
0,0,0,1.3504291438844438,1
0,0,2,-1.1086000533260427,1
1,2,2,-1.7654899094028358,1
0,0,0,0.24815431276008565,1
0,0,2,-1.8532651657751085,1
1,0,1,0.50553637914828664,0
0,0,0,1.046554693340696,0
0,2,0,-0.63309222534485965,0
1,0,0,-1.9031964475716288,0
1,2,2,-0.27472458186759396,0
1,1,2,-0.52854233050392041,1
0,0,1,0.016756715364840771,1
0,1,1,0.15903345187205883,0
0,1,0,0.59476579533690699,0
1,1,0,-0.84258758936556011,0
0,0,0,0.87642676810966269,0
1,2,1,-0.18744489509093631,0
1,1,2,-0.96700026198015732,1
1,2,0,-0.24303367650403193,0
0,1,0,0.42023156239049214,0
0,2,2,-0.9182878864108206,1
0,1,2,-0.34151446911560207,0
1,0,0,1.902518725591466,1
0,0,0,-0.66465131709669989,1
0,2,0,-0.55769103123242381,1
1,0,2,0.15986281298868565,0
1,2,2,-0.10029964336235815,0
0,1,1,0.73409415686638024,0
1,2,0,-1.0240937969462507,0
1,1,1,0.15844246858344094,0
1,1,1,-2.0002344762504869,0
0,0,2,-0.99729741198777166,0
0,1,0,-0.1821494832460217,0
1,1,2,0.21358182933718201,0
0,0,0,0.77077448673853255,0
0,0,0,-1.3056764559932041,0
