scenario,scale,level,effect1,effect2,stata_effect1,stata_effect2,covariance,correlation,cov_abs_tol,python_boot_reps,stata_boot_reps,stata_mc_sims,source,notes
oce_mlogit_logit,rd,1,tce,nde,tce_1,nde_1,0.0020283496127233378,0.96386701038165346,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,tce,cde,tce_1,cde_1,0.0017999905357811027,0.95838557926754309,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,nde,cde,nde_1,cde_1,0.0017644863476334633,0.99580507553680764,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,nde,pm,nde_1,pm_1,-0.0029697773325543637,-0.27951685667201792,0.0035637327990652363,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,1,pm,cde,pm_1,cde_1,-0.0026604879471937271,-0.28056995171433768,0.0031925855366324724,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,tce,nde,tce_2,nde_2,0.0022382892315038379,0.96027550827681407,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,tce,cde,tce_2,cde_2,0.002051090528055606,0.94941367833293255,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,nde,cde,nde_2,cde_2,0.0021421601917460714,0.99442192083529146,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,nde,pm,nde_2,pm_2,-0.0042657192760999019,-0.77060596176795237,0.0051188631313198825,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
oce_mlogit_logit,rd,2,pm,cde,pm_2,cde_2,-0.0039527823329580684,-0.77043144691482712,0.0047433387995496823,300,100,9000,statsmodels_plugin_bootstrap,OCE categorical exposure; multinomial mediator; binary outcome; baseline x=0; control m=0
specific_mlogit_logit,rd,,tce,nde,tce,nde,0.0023460768610439522,0.96093558990626027,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,tce,cde,tce,cde,0.0021548568995637075,0.95033093133902613,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,nde,cde,nde,cde,0.0022435839325391197,0.99493279256204359,0.0030000000000000001,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,nde,pm,nde,pm,-0.0043161308801905997,-0.77574721756756049,0.0051793570562287195,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
specific_mlogit_logit,rd,,pm,cde,pm,cde,-0.004016804811839041,-0.77733950145014064,0.0048201657742068492,300,100,9000,statsmodels_plugin_bootstrap,specific comparison x=2 versus x=0; multinomial mediator; binary outcome; control m=0
linexp_linear_linear,rd,,tce,nde,tce,nde,0.0010944757623488227,0.6751135437476371,0.0040000000000000001,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,tce,cde,tce,cde,0.0010944757623488227,0.67511354374763755,0.0040000000000000001,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,nde,cde,nde,cde,0.0017175292569860704,1,0.0040000000000000001,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,nde,pm,nde,pm,-0.0014231094096850536,-0.90774417340255997,0.0040000000000000001,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
linexp_linear_linear,rd,,pm,cde,pm,cde,-0.0014231094096850538,-0.90774417340255975,0.0040000000000000001,300,100,9000,statsmodels_plugin_bootstrap,continuous exposure one-unit shift; linear mediator/outcome; control m=0
