y,m,x,c,z
0.882631794260925,0.711956735588534,0,0.422654765086931,0.312294711453482
1.94891878162085,,1,0.803054100834376,-0.742710173397392
3.85881808898441,1.8378176078835,1,1.52026928311116,0.188538964515411
2.70726176631409,,1,0.74280944968864,1.21727271553163
1.99618810574909,1.14104881718415,0,0.469445886463223,1.054178487774
2.50798336858783,,1,-0.779700291301555,0.69413456048955
0.0956214357194726,0.320212059007987,0,0.448203786432641,-0.420872081612185
4.49382376670046,,1,0.970305548705657,0.573815693596516
-0.121528562521436,-0.366184555823832,0,-0.259853677235038,-1.08954618376012
2.55470633601076,1.37927442006618,1,0.539125615621112,0.157577987339422
-0.820340177260108,-0.160454229671441,0,-2.46752992914264,1.09078952444136
2.57948788793796,,1,0.568257059820916,-1.08816478912902
2.91803139277178,0.416904695803348,1,0.662159652806014,-1.69284935992611
1.44493760173146,1.16732823301833,1,-0.587789002485896,0.694242334794507
2.46191468921621,1.52724374882105,1,0.244585308878492,0.66760065422859
2.15144824275471,0.423355313970304,1,0.176104197011734,-1.28343922669996
-0.923119738434311,-0.195396326775763,0,-1.62686231279044,0.339439479963515
3.16439319158545,,1,0.361560151727201,1.3117225621465
2.27599905135968,0.786199683211515,1,-0.385363742517032,-0.164339332101493
0.738851560075519,0.491264024942474,0,-0.96745767661924,1.04839996258388
0.909374319655747,0.506825652711762,0,0.592665154961975,-0.199770303674775
2.81852430262857,1.19288059235766,1,-1.01173242792119,1.08756397258581
1.44251922380043,0.296549580059232,1,-0.723142401832611,-0.778247889301987
2.64883152662599,,1,0.777423721246859,0.290489263908509
-0.327582733091737,-0.398655830089996,0,-1.9004517909761,0.193722683362272
1.19702978725842,1.34614545589656,0,0.238454977160549,1.61607402940785
1.70770182123993,-0.0124792232664634,1,-0.816986208523915,-1.26333714441946
2.67574041000097,,1,1.89937587298226,-0.822266423389607
-2.01735498980872,-1.51959633088132,0,-3.58837541510306,-0.463322534699898
0.89860279919906,,0,1.31933223106547,-0.946890934955956
0.0184745182692035,0.338356487989547,0,0.360347807584971,-0.31600004622489
