id,time,l0,a,l,alag,llag,y,yc
1,1,0.40871849313087,0,0.141768502414449,0,0,0,0
1,2,0.40871849313087,0,0.247620690301319,0,0.141768502414449,0,0
1,3,0.40871849313087,1,0.243411968704048,0,0.247620690301319,0,0.0108780425980139
2,1,-0.574157847674591,1,0.682438454709116,0,0,0,0
2,2,-0.574157847674591,0,-0.0160509518966473,1,0.682438454709116,0,0
2,3,-0.574157847674591,0,-0.0392101222175988,0,-0.0160509518966473,1,-0.635148819313838
3,1,0.376762593437886,0,-0.0938554403613377,0,0,0,0
3,2,0.376762593437886,0,0.105845859540486,0,-0.0938554403613377,0,0
3,3,0.376762593437886,0,0.160961985828571,0,0.105845859540486,1,0.0656073601501038
4,1,0.0165113711882628,0,1.23547711456636,0,0,0,0
4,2,0.0165113711882628,1,0.819218545838609,0,1.23547711456636,0,0
4,3,0.0165113711882628,0,0.122881792177592,1,0.819218545838609,0,0.0267250869068426
5,1,0.442825151151876,1,0.565446324647471,0,0,0,0
5,2,0.442825151151876,1,0.0788108924798335,1,0.565446324647471,0,0
5,3,0.442825151151876,1,-0.224658487974829,1,0.0788108924798335,0,-0.857977999151023
6,1,-0.373945739706986,0,-0.615699385315062,0,0,0,0
6,2,-0.373945739706986,0,-0.316936961835854,0,-0.615699385315062,0,0
6,3,-0.373945739706986,0,-0.176667732568698,0,-0.316936961835854,0,-0.0175469114509331
7,1,-1.7070346299072,0,-0.749871918582658,0,0,0,0
7,2,-1.7070346299072,0,-0.608051253563094,0,-0.749871918582658,0,0
7,3,-1.7070346299072,0,-0.52341303764671,0,-0.608051253563094,0,0.902744830816991
8,1,-0.984125342768137,0,-0.411241652477409,0,0,0,0
8,2,-0.984125342768137,1,-0.295980213279799,0,-0.411241652477409,0,0
8,3,-0.984125342768137,1,-0.630566665291429,1,-0.295980213279799,0,-1.33624573080685
9,1,0.563753724616022,1,0.614262713558245,0,0,0,0
9,2,0.563753724616022,0,0.126472969802346,1,0.614262713558245,0,0
9,3,0.563753724616022,1,0.198485654837533,0,0.126472969802346,0,-0.716855255387952
10,1,1.52143147452931,1,1.08006539432877,0,0,0,0
10,2,1.52143147452931,0,0.549866964635376,1,1.08006539432877,0,0
10,3,1.52143147452931,1,0.565427236983561,0,0.549866964635376,0,0.802308094562796
11,1,-0.873202470714233,0,-1.25753289428483,0,0,0,0
11,2,-0.873202470714233,0,-0.769081473999481,0,-1.25753289428483,0,0
11,3,-0.873202470714233,0,-0.495243156599707,0,-0.769081473999481,0,-1.10091702819063
12,1,-1.22002371354056,0,-0.793869565461904,0,0,0,0
12,2,-1.22002371354056,0,-0.555648142134394,0,-0.793869565461904,0,0
12,3,-1.22002371354056,1,-0.426409798069595,0,-0.555648142134394,0,-0.978457028697163
13,1,-0.500693490394675,0,0.224358509016194,0,0,0,0
13,2,-0.500693490394675,1,0.150016976766245,0,0.224358509016194,0,0
13,3,-0.500693490394675,1,-0.31758775143382,1,0.150016976766245,0,-0.450733654032683
14,1,-0.125079889785241,1,-0.0635578426265837,0,0,0,0
14,2,-0.125079889785241,1,-0.376876331089057,1,-0.0635578426265837,0,0
14,3,-0.125079889785241,1,-0.554793166668915,1,-0.376876331089057,0,-0.850268198654744
15,1,0.543986598219463,1,0.169040676616939,0,0,0,0
15,2,0.543986598219463,0,-0.134918551847062,1,0.169040676616939,0,0
15,3,0.543986598219463,0,0.0519529202348411,0,-0.134918551847062,1,0.224339269575832
16,1,0.605284424572958,1,0.588194403839091,0,0,0,0
16,2,0.605284424572958,0,0.117998262158346,1,0.588194403839091,0,0
16,3,0.605284424572958,0,0.199638863627304,0,0.117998262158346,0,0.527178351684037
