"time","Lambda0"
0.0243938484173827,0.00314367420917415
0.0254595198181871,0.0130591539506698
0.030620067049444,0.0158203608706452
0.0376072004529728,0.0180048083968761
0.0381546708953687,0.0201724082887239
0.0390575786961309,0.0223067640284648
0.0469714575813069,0.0240885116628726
0.047541345600888,0.0258653032990554
0.0480841859306311,0.0276159029897006
0.05052085983806,0.0319908723603955
0.0561723010083989,0.035901473602381
0.0562140112860302,0.0374223010444055
0.0565939579461103,0.0389391814159899
0.0595124402578063,0.0427756018450828
0.0679836553484914,0.0440629245764426
0.0681771122925653,0.0474541279133681
0.0756137227990285,0.0486245825307231
0.0808459953373584,0.0513791811701699
0.0835665485195013,0.0540761213930898
0.086937713677597,0.0551079500595569
0.0870818831482297,0.056142999226679
0.0881069588968004,0.0586821231380822
0.0990558921273582,0.0609284393709325
0.103077642523127,0.0618217599556338
0.108604865142438,0.0639102329816307
0.108687533021731,0.0660326055385877
0.10922560987495,0.068164683827945
0.109446432778965,0.0690261571827611
0.110225636970336,0.0711669436639398
0.115054019227276,0.0731855329496236
0.117851990249676,0.0739912764582767
0.120258522838118,0.0747607343181092
0.127299015277444,0.076578273557274
0.128299969842234,0.0783970049095512
0.128908618454529,0.0791410696595571
0.130971610396887,0.0809088563034012
0.132200383256638,0.0816533311309535
0.139988247979461,0.0823625065024356
0.140571851695261,0.0830721295404293
0.142862695343885,0.084709456247264
0.152685393762541,0.0853789683134165
0.15927163609944,0.0860180984970629
0.16044849881804,0.0866567505198757
0.162088874566709,0.0872923052235964
0.167548927631933,0.0878959630583242
0.168011884640353,0.0885062521872991
0.16941960088357,0.0891117199149158
0.182413158090927,0.0896909606070139
0.182580331580021,0.0902703541578899
0.185551137772449,0.0916104911435072
0.186657896773868,0.0921686293792084
0.191452536485573,0.0927135309682009
0.192395744477636,0.0932614629764417
0.194839212270528,0.094563250932426
0.197106337381091,0.0951019089144804
0.197462673096847,0.096400468231747
0.197835559513396,0.0969395718949655
0.199574288180708,0.0974682899551624
0.200411623378412,0.0987288217234564
0.201226022417851,0.0992631603352459
0.205273838734529,0.100497165175539
0.205632990155759,0.101021085248706
0.206134517773637,0.101541475521227
0.210160951748572,0.102063585232244
0.210462109293179,0.103291785985608
0.211651808776024,0.103811101946379
0.211942374888587,0.105035005971266
0.213673339107669,0.105549771502444
0.215168176585693,0.106753306226568
0.217485738616394,0.107934742557315
0.22124219189574,0.109119654288213
0.224342077432103,0.110276365099238
0.227275279100306,0.111415390910429
0.229438981005311,0.111905347204628
0.229742993587468,0.112393216395694
0.230014532867813,0.112874227615103
0.231930163294436,0.113352430204343
0.233371599736305,0.113836617950987
0.23406202656445,0.114320980833972
0.234433193193851,0.114803401565833
0.239043643451568,0.11527737687336
0.241451632322921,0.115741040112856
0.242549483552893,0.116208352627396
0.244869552435742,0.117258756207824
0.246964022578132,0.118308266948262
0.252983488738552,0.11876299855785
0.253013908092017,0.119805030878627
0.254081917786634,0.120251928557011
0.255222676039367,0.120697350513297
0.255893720448109,0.121148106653371
0.257737865424249,0.122163530031932
0.258209855075769,0.12260529917272
0.259559685184627,0.123050896323159
0.25985351352533,0.123492102295586
0.265876109578797,0.123932612407195
0.270279901475966,0.124944297487692
