"time","Lambda0"
0.0115640681609783,0.00875816355064146
0.0187894915349732,0.0145331121315823
0.0202214247211523,0.0200933383548764
0.0233255180066609,0.0248847290500266
0.0305078623959002,0.0286057796262593
0.0368888643824204,0.031880425419672
0.0377886452486461,0.0351009472927539
0.0486480395539326,0.0377339096945388
0.0518551152698426,0.0401914036763443
0.0528473819148031,0.0426261909557322
0.0529118558242817,0.04506964429274
0.0538536180900475,0.0474677070729558
0.0540921671298103,0.0498390676668923
0.0565127549838709,0.052098156766324
0.058001449845649,0.0543226694329248
0.0604577235290268,0.0564152837680025
0.0607047628607613,0.0584877914875582
0.0623663340436798,0.0605112985626892
0.0623958252186982,0.0625476715943559
0.0705246656382416,0.0643642463073484
0.0753323794741938,0.0660936052826526
0.0782399115188106,0.0677616615951326
0.0798884380691462,0.0694292454492954
0.0814042055749175,0.0710711192225034
0.0874927901184902,0.0725816081821077
0.0878627322165916,0.0740956596507643
0.0891923696668591,0.0756034724357263
0.0925144839830128,0.0770926230537033
0.0939308785101445,0.0785690460521926
0.0942459412162215,0.0800457841862694
0.0957312369002871,0.0814895917683511
0.0991747231786756,0.0829167785920786
0.104441844909219,0.0842894332058743
0.104744308264984,0.0856605275714072
0.105654972132801,0.0870348307838649
0.107516863925959,0.0883869992021987
0.109301495344059,0.0897056501321565
0.110026102745679,0.0910188410344115
0.110783533080645,0.0923306045054651
0.111381413530531,0.0936448218074719
0.1145627273676,0.0949161495211484
0.119859969386996,0.0961388509641203
0.121647719678208,0.0973416951754171
0.123076529763343,0.0985306357777665
0.124761524115297,0.099701795933571
0.125882664047552,0.100872714598039
0.133205282592202,0.101993021054941
0.134986105947354,0.103092900157441
0.135556652305948,0.104191618162375
0.135658146548718,0.105293322421562
0.137889522271974,0.106386168965238
0.139512649140082,0.10746785028601
0.141090663314459,0.108541770959282
0.147266292310623,0.1095666271306
0.150179277765792,0.110567500484012
0.151259972874915,0.11156048264456
0.151496142197093,0.112555420710871
0.15276295785832,0.113548843776086
0.153139512769089,0.114540445725344
0.153497856898649,0.115534301454883
0.156249634615449,0.116509552736918
0.157816758001451,0.117473039715182
0.161281903522527,0.118426922510937
0.162984925912557,0.119366062551823
0.163345598318988,0.12030521519089
0.164268845088046,0.121244161829064
0.165806431983167,0.12217735655302
0.166020777204927,0.123110115869594
0.167967806969072,0.124030958664095
0.169992030724101,0.124938316034229
0.170713380533193,0.125843208250063
0.171688824918974,0.126745628265446
0.172428221572171,0.127645398053473
0.17400681705091,0.128541333793714
0.177800416089733,0.129422645205594
0.181551148357539,0.130285935314672
0.182730812547068,0.131149249452615
0.184601898630958,0.132002259515366
0.186183390904681,0.132849468972694
0.186756005496306,0.133692395647371
0.188242472537374,0.134532525522367
0.18996320097428,0.135364908310725
0.190056917290057,0.136198590571776
0.190093589565353,0.137032935319306
0.190878726148798,0.137867804671404
0.201874579530729,0.138672546458182
0.204173437186784,0.139469266905658
0.204919404452194,0.140264923900053
0.204924064038541,0.141062017676904
0.205373931106679,0.141859215825453
