"id","L","X","status","z1","z2","cgroup","tgroup"
1,0.903589037303806,0.911817177182008,2,0,0.87082109243268,0,1
2,1.93648371422227,2.68030996193549,2,0,0.640318738448057,0,1
3,1.09749255697232,1.98185900910122,2,0,-0.422773751115363,0,0
4,0.517807783972886,0.786767248592843,0,0,-0.349073791823173,0,0
5,0.11021634667284,0.472654066103592,1,0,1.40379639516937,0,1
6,0.509745547961858,1.13771208119184,1,1,-2.22354096296523,1,0
7,0.5179750541639,1.09636345008278,1,1,-1.1145318476302,1,0
8,0.274360081594851,3.49766574349539,2,0,-0.417113244241242,0,0
9,0.735411745910015,1.04123136541528,1,0,-2.3382648296981,0,0
10,0.653295818095406,1.64802993976971,2,0,1.78458680292996,0,1
11,0.273452914423413,0.564165788213503,1,0,-1.20893412173006,0,0
12,1.02469786886261,1.16865197141678,1,0,-0.0195724913258733,0,0
13,0.903089996380621,4.26800478998439,1,1,-0.00174780839289129,1,0
14,2.35650238035221,5.93943854686504,2,0,-0.178553397507377,0,0
15,0.705219990987745,0.897889090561656,1,0,-1.03431079607067,0,0
16,2.70939562545096,2.84828516839104,2,0,0.382849117261063,0,1
17,1.35345444846934,2.13088750385568,2,0,0.350647268440257,0,1
18,0.0688760689018127,0.213498056435454,1,1,-1.62761866562911,1,0
19,1.27248577665423,3.60414637969724,2,1,-1.17806876630749,1,0
20,1.94319623616605,3.40734773133572,2,0,0.381205946426353,0,1
21,1.11876688375541,4.58248603474851,1,1,0.884582507343828,1,1
22,2.5074315918244,3.72716704204124,2,0,-0.974636955306576,0,0
23,0.43096990014116,1.3640464993425,2,0,0.0278071084089859,0,1
24,0.454098640239395,0.983866744890476,2,0,1.68133180206455,0,1
25,0.950041013826609,2.04817560512713,1,0,0.725715291171131,0,1
26,0.144167169934469,0.220489765169999,2,0,0.893188237958213,0,1
27,0.568592281396448,0.726266863717923,1,1,-0.342055758799199,1,0
28,0.0128375771341633,2.78344970817367,0,0,0.641186489999483,0,1
29,0.211170549090538,1.02080504168465,2,0,1.01535586769192,0,1
30,0.868264242132187,1.48186056007174,2,1,0.571142819882566,1,1
31,0.279393327663472,0.679168304976185,2,0,0.45665774538351,0,1
32,0.00954347080672726,0.563593192782269,2,1,0.950241286832531,1,1
33,0.642786632912854,1.48828510621339,2,0,1.28207247675011,0,1
34,0.498639070428908,0.520341964489385,1,0,-0.83166171015744,0,0
35,0.106558907183011,0.885219695759292,1,1,0.651276685314889,1,1
36,0.104788062680099,3.11850717250186,2,0,-0.301382989229286,0,0
37,0.368442377986277,1.38871926957361,1,1,-0.0453982432863099,1,0
38,1.49120615790587,1.50823271522919,0,1,-1.48094614797813,1,0
39,0.0114662717613909,6,0,0,-0.093188283415152,0,0
40,1.84393656120303,2.0123558629497,1,1,-0.214206868878675,1,0
41,0.303458403278556,0.465368667512955,2,0,-0.398204087858281,0,0
42,0.977376140179514,1.22365077743034,2,0,1.49101436820969,0,1
43,0.258625766469373,0.710556055559119,1,0,-0.0558870223033087,0,0
44,0.414699568485173,0.461729979311847,2,0,0.0497050829278285,0,1
45,0.220533887752228,0.561143770854322,2,0,0.502244730525027,0,1
46,0.0519739578244059,1.47474624372725,1,1,-0.468856875620442,1,0
47,0.804044841224631,2.27666283044182,2,0,-0.260061954924678,0,0
48,0.359341654305657,0.36176393824485,2,1,1.66764436100252,1,1
49,0.34444532253676,0.825708367915118,1,0,-0.380414927012231,0,0
50,1.6772091449857,3.11797763614947,2,0,0.779031660955574,0,1
51,0.0167341709330054,0.178591229135842,1,1,-1.45105822520901,1,0
52,0.245648753415379,1.01122970370722,1,1,-1.44578955029314,1,0
53,0.242817690288887,2.81629646817843,0,0,0.773331454704591,0,1
54,1.06869690493307,3.80593722996612,0,0,0.00223201056243627,0,1
55,0.406139672009481,0.782277985916065,2,1,0.0176669898250426,1,1
56,0.0718840320284168,0.458597126852409,1,1,-0.26733480342805,1,0
57,0.478651276272204,0.576757827054465,1,0,-1.81907241474104,0,0
58,0.0396929712657187,3.07991528883576,0,0,-1.48571766668983,0,0
59,0.699272227680518,2.23155780099625,2,0,1.4528158522962,0,1
60,0.232675188896821,0.988136882159039,1,0,-0.47205468083904,0,0
61,0.0448713901763161,0.309401916740074,1,1,0.0759631400240211,1,1
62,0.813824549891565,2.23107654545762,2,1,0.975201431847581,1,1
