"id","period","r_manual_weight","r_denom_pr","r_numer_pr"
1,0,1.26989626307526,0.455638959352607,0.308717948718114
1,1,1.32298619649274,0.355481173800566,0.328536089730174
1,2,1.34738325260419,0.340694280552275,0.328536089730174
1,3,1.27833954128813,0.292270012618056,0.328536089730174
1,4,1.43539878737412,0.292588148977447,0.328536089730174
1,5,1.73966490029838,0.41015868584957,0.497101346051947
1,6,1.66112159567242,0.520605936296666,0.497101346051947
1,7,1.80267427502987,0.536590816167354,0.497101346051947
2,0,1.2901269673374,0.239292687102925,0.308717948718114
2,1,1.0586822775855,0.387159746571213,0.497101346051947
2,2,1.09278175314277,0.349488642360178,0.328536089730174
2,3,1.13127524433039,0.35138374793035,0.328536089730174
2,4,1.0351513638459,0.266184129509949,0.328536089730174
2,5,0.893813017252731,0.222357731345756,0.328536089730174
2,6,0.771304228390555,0.221885267157262,0.328536089730174
2,7,0.660017714796062,0.215319617045735,0.328536089730174
3,0,1.13007260398574,0.388285275792238,0.308717948718114
3,1,1.2728151539387,0.291691714445562,0.328536089730174
3,2,1.38347936262923,0.537328098321622,0.497101346051947
3,3,1.63635966944935,0.277764667821196,0.328536089730174
3,4,1.33787070793478,0.384900894936797,0.497101346051947
3,5,1.1869719636396,0.243173449328321,0.328536089730174
3,6,1.03954902397388,0.233312890777025,0.328536089730174
3,7,1.19464905172376,0.415711541772446,0.328536089730174
4,0,1.28761590456216,0.239759347196858,0.308717948718114
4,1,1.13813762254664,0.562388578213889,0.497101346051947
4,2,1.04352569486422,0.542171359023328,0.497101346051947
4,3,0.915314134666694,0.566732237501931,0.497101346051947
4,4,0.935492067132142,0.50794853057959,0.497101346051947
4,5,1.04744012178525,0.400300648831037,0.328536089730174
4,6,0.906765419474909,0.379504858088982,0.328536089730174
4,7,0.860670723815631,0.523724460588129,0.497101346051947
5,0,0.954971839542738,0.239921400317267,0.274146341463912
5,1,1.08105223267129,0.264938635207969,0.299917223998563
5,2,1.23256143863474,0.406915303898573,0.463944384200925
5,3,1.23020517171507,0.462917652933936,0.463944384200925
5,4,0.832646441328839,0.443116912216219,0.299917223998563
5,5,0.84888306657506,0.455070498741351,0.463944384200925
5,6,0.722427440181284,0.545154446904635,0.463944384200925
5,7,1.08690754721616,0.643703563096604,0.463944384200925
6,0,1.17325309758313,0.233663428657164,0.274146341463912
6,1,0.957016287395665,0.342823189117707,0.463944384200925
6,2,0.9426422200898,0.289241872600699,0.299917223998563
6,3,0.832612253320368,0.207401068642811,0.299917223998563
6,4,0.746116569855733,0.218758138892369,0.299917223998563
6,5,0.675830229785203,0.227108619258884,0.299917223998563
6,6,0.870267567287203,0.232908974240329,0.299917223998563
6,7,0.812368229642102,0.425738477121845,0.463944384200925
7,0,0.594016397117758,0.461513087507524,0.274146341463912
7,1,0.573857108664041,0.480242498359278,0.463944384200925
