id,period,py_weight,py_denom_pr,py_numer_pr
1,0,1.2698962630752508,0.45563895935260795,0.30871794871812225
1,1,1.3229861964927165,0.3554811738005655,0.3285360897301799
1,2,1.3473832526041511,0.3406942805522747,0.3285360897301799
1,3,1.2783395412880774,0.29227001261805535,0.3285360897301799
1,4,1.4353987873740932,0.2925881489774462,0.3285360897301799
1,5,1.7396649002983806,0.41015868584956955,0.49710134605195533
1,6,1.661121595672446,0.520605936296666,0.49710134605195533
1,7,1.8026742750298759,0.5365908161673542,0.49710134605195533
2,0,1.2901269673374332,0.23929268710292523,0.30871794871812225
2,1,1.0586822775855067,0.38715974657121227,0.49710134605195533
2,2,1.092781753142763,0.3494886423601782,0.3285360897301799
2,3,1.1312752443303802,0.35138374793034977,0.3285360897301799
2,4,1.035151363845873,0.2661841295099486,0.3285360897301799
2,5,0.8938130172527023,0.22235773134575534,0.3285360897301799
2,6,0.7713042283905218,0.2218852671572611,0.3285360897301799
2,7,0.660017714796027,0.21531961704573369,0.3285360897301799
3,0,1.1300726039857316,0.38828527579223926,0.30871794871812225
3,1,1.2728151539387151,0.2916917144455609,0.3285360897301799
3,2,1.3834793626292234,0.537328098321622,0.49710134605195533
3,3,1.6363596694493745,0.2777646678211954,0.3285360897301799
3,4,1.3378707079347798,0.3849008949367965,0.49710134605195533
3,5,1.1869719636395886,0.24317344932832063,0.3285360897301799
3,6,1.0395490239738607,0.2333128907770246,0.3285360897301799
3,7,1.1946490517237236,0.41571154177244646,0.3285360897301799
4,0,1.2876159045621869,0.2397593471968584,0.30871794871812225
4,1,1.1381376225466897,0.5623885782138894,0.49710134605195533
4,2,1.0435256948642833,0.5421713590233285,0.49710134605195533
4,3,0.9153141346667597,0.5667322375019318,0.49710134605195533
4,4,0.9354920671321939,0.5079485305795901,0.49710134605195533
4,5,1.0474401217852942,0.4003006488310374,0.3285360897301799
4,6,0.9067654194749679,0.37950485808898204,0.3285360897301799
4,7,0.8606707238157008,0.523724460588129,0.49710134605195533
5,0,0.9549718395427312,0.23992140031726786,0.27414634146391803
5,1,1.081052232671311,0.26493863520796856,0.2999172239985707
5,2,1.2325614386347907,0.4069153038985725,0.46394438420093526
5,3,1.2302051717150955,0.4629176529339359,0.46394438420093526
5,4,0.8326464413288784,0.4431169122162197,0.2999172239985707
5,5,0.8488830665751195,0.4550704987413505,0.46394438420093526
5,6,0.7224274401813497,0.5451544469046354,0.46394438420093526
5,7,1.0869075472162413,0.6437035630966048,0.46394438420093526
6,0,1.1732530975831506,0.23366342865716475,0.27414634146391803
6,1,0.9570162873956647,0.3428231891177058,0.46394438420093526
6,2,0.9426422200897894,0.2892418726006988,0.2999172239985707
6,3,0.8326122533203487,0.20740106864281033,0.2999172239985707
6,4,0.7461165698557072,0.21875813889236823,0.2999172239985707
6,5,0.6758302297851718,0.22710861925888293,0.2999172239985707
6,6,0.8702675672871872,0.23290897424032855,0.2999172239985707
6,7,0.8123682296420716,0.4257384771218445,0.46394438420093526
7,0,0.5940163971177694,0.46151308750752534,0.27414634146391803
7,1,0.5738571086640647,0.4802424983592774,0.46394438420093526
7,2,0.49619819642267343,0.5365553216797487,0.46394438420093526
7,3,0.5644788479777098,0.5287868966309878,0.46394438420093526
